key,value,time
kv,,147
kv,1.20E+14,148
kv,2.90E+14,149
kv,3.00E+14,150
kv,1.10E+14,151
kv,5.00E+14,152
kv,,153
kv,4.00E+14,154
kv,1.00E+14,155
kv,,156
kv,,157
kv,1.80E+14,158
kv,,159
kv,6.10E+14,160
kv,5.00E+14,161
kv,3.00E+14,162
kv,8.50E+13,163
kv,2.00E+14,164
kv,7.00E+12,165
kv,,166
kv,4.00E+14,167
vv,,0
vv,,1
vv,,2
vv,,3
vv,,4
vv,,5
vv,,6
vv,,7
vv,,8
vv,5.60E+14,9
vv,,10
vv,,11
vv,4.20E+14,12
vv,4.00E+14,13
vv,9.00E+14,14
vv,6.00E+14,15
vv,1.60E+14,16
vv,,17
vv,8.00E+14,18
vv,2.00E+14,19
vv,1.00E+15,20
vv,3.70E+14,21
vv,1.00E+14,22
vv,6.00E+14,23
vv,,24
vv,,25
vv,,26
vv,,27
vv,,28
vv,,29
vv,,30
vv,,31
vv,,32
vv,5.00E+14,33
vv,1.80E+14,34
vv,7.90E+14,35
vv,4.40E+14,36
vv,,37
vv,,38
vv,,39
vv,,40
vv,1.00E+14,41
vv,,42
vv,,43
vv,4.00E+14,44
vv,5.70E+14,45
vv,1.00E+15,46
vv,3.00E+14,47
vv,,48
vv,,49
vv,,50
vv,,51
vv,,52
vv,,53
vv,,54
vv,,55
vv,,56
vv,,57
vv,1.70E+14,58
vv,1.10E+14,59
vv,8.00E+14,60
vv,4.30E+14,61
vv,,62
vv,2.00E+14,63
vv,7.00E+12,64
vv,,65
vv,5.10E+14,66
vv,,67
vv,2.00E+14,68
vv,1.00E+14,69
vv,,70
vv,3.00E+14,71
vv,,72
vv,,73
vv,,74
vv,,75
vv,,76
vv,,77
vv,,78
vv,,79
vv,,80
vv,5.00E+14,81
vv,4.80E+14,82
vv,,83
vv,,84
vv,,85
vv,,86
vv,,87
vv,1.30E+13,88
vv,,89
vv,,90
vv,7.10E+14,91
vv,4.50E+14,92
vv,,93
vv,,94
vv,3.00E+14,95
vv,,96
vv,,97
vv,,98
vv,,99
vv,6.00E+14,100
vv,1.00E+14,101
vv,,102
vv,,103
vv,,104
vv,4.00E+14,105
vv,4.60E+14,106
vv,,107
vv,,108
vv,,109
vv,3.60E+14,110
vv,,111
vv,2.00E+14,112
vv,1.00E+14,113
vv,9.10E+14,114
vv,,115
vv,,116
vv,,117
vv,3.00E+14,118
vv,,119
vv,,120
vv,,121
vv,,122
vv,,123
vv,,124
vv,,125
vv,,126
vv,,127
vv,,128
vv,5.00E+14,129
vv,3.10E+14,130
vv,,131
vv,,132
vv,,133
vv,8.00E+14,134
vv,,135
vv,6.00E+14,136
vv,1.47E+14,137
vv,6.00E+14,138
vv,,139
vv,1.00E+14,140
vv,1.00E+14,141
vv,,142
vv,,143
vv,3.00E+14,144
vv,,145
vv,,146
vv,,147
vv,,148
vv,,149
vv,,150
vv,2.00E+14,151
vv,,152
vv,,153
vv,4.10E+14,154
vv,,155
vv,,156
vv,,157
vv,1.20E+14,158
vv,,159
vv,6.90E+14,160
vv,1.00E+14,161
vv,,162
vv,9.10E+13,163
vv,,164
vv,5.00E+14,165
vv,,166
vv,3.00E+14,167
