day,time,value,key
30,0,"	0.00300000000000011",kv
30,1,"	0",kv
30,2,"	0",kv
30,3,"	0",kv
30,4,"	0",kv
30,5,"	0",kv
30,6,"	0",kv
30,7,"	0.00500000000000966",kv
30,8,"	0.000999999999990564",kv
30,9,"	0.0580000000000069",kv
30,10,"	0.00499999999999545",kv
30,11,"	0.00300000000000011",kv
30,12,"	0.0889999999999986",kv
30,13,"	0.0150000000000006",kv
30,14,"	0.0310000000000059",kv
30,15,"	0.0819999999999936",kv
30,16,"	0.0320000000000107",kv
30,17,"	0.00999999999999091",kv
30,18,"	0.0160000000000053",kv
30,19,"	0.0109999999999957",kv
30,20,"	0.00600000000000023",kv
30,21,"	0.034000000000006",kv
30,22,"	0.0189999999999912",kv
30,23,"	0.0290000000000106",kv
31,0,"	0",kv
31,1,"	0",kv
31,2,"	0",kv
31,3,"	0",kv
31,4,"	0",kv
31,5,"	0",kv
31,6,"	0",kv
31,7,"	0.00399999999999068",kv
31,8,"	0.00400000000000489",kv
31,9,"	0.0150000000000006",kv
31,10,"	0.0240000000000009",kv
31,11,"	0.0499999999999972",kv
31,12,"	0.0529999999999973",kv
31,13,"	0",kv
31,14,"	0",kv
31,15,"	0.00200000000000955",kv
31,16,"	0",kv
31,17,"	0.00599999999998602",kv
31,18,"	0.00500000000000966",kv
31,19,"	0.00499999999999545",kv
31,20,"	0.0130000000000052",kv
31,21,"	0.0450000000000017",kv
31,22,"	0.0189999999999912",kv
31,23,"	0.00500000000000966",kv
1,0,"	0.00399999999999068",kv
1,1,"	0",kv
1,2,"	0",kv
1,3,"	0",kv
1,4,"	0",kv
1,5,"	0",kv
1,6,"	0",kv
1,7,"	0",kv
1,8,"	0.00300000000000011",kv
1,9,"	0.0180000000000007",kv
1,10,"	0.0810000000000031",kv
1,11,"	0.0529999999999973",kv
1,12,"	0.0670000000000073",kv
1,13,"	0.039999999999992",kv
1,14,"	0",kv
1,15,"	0.00800000000000978",kv
1,16,"	0.0119999999999862",kv
1,17,"	0.0150000000000006",kv
1,18,"	0.0300000000000011",kv
1,19,"	0",kv
1,20,"	0.0100000000000051",kv
1,21,"	0.0180000000000007",kv
1,22,"	0",kv
1,23,"	0.00400000000000489",kv
2,0,"	0",kv
2,1,"	0",kv
2,2,"	0",kv
2,3,"	0",kv
2,4,"	0.0120000000000005",kv
2,5,"	0.0219999999999914",kv
2,6,"	0",kv
2,7,"	0",kv
2,8,"	0.00300000000000011",kv
2,9,"	0.0139999999999958",kv
2,10,"	0.0430000000000064",kv
2,11,"	0",kv
2,12,"	0",kv
2,13,"	0",kv
2,14,"	0",kv
2,15,"	0.0130000000000052",kv
2,16,"	0.00699999999999079",kv
2,17,"	0",kv
2,18,"	0",kv
2,19,"	0.0640000000000072",kv
2,20,"	0.039999999999992",kv
2,21,"	0",kv
2,22,"	0",kv
2,23,"	0.00400000000000489",kv
3,0,"	0",kv
3,1,"	0",kv
3,2,"	0",kv
3,3,"	0",kv
3,4,"	0.0109999999999957",kv
3,5,"	0.0120000000000005",kv
3,6,"	0",kv
3,7,"	0",kv
3,8,"	0.00300000000000011",kv
3,9,"	0.0110000000000099",kv
3,10,"	0.0509999999999877",kv
3,11,"	0",kv
3,12,"	0",kv
3,13,"	0",kv
3,14,"	0.0280000000000058",kv
3,15,"	0",kv
3,16,"	0.00199999999999534",kv
3,17,"	0.00100000000000477",kv
3,18,"	0.0630000000000024",kv
3,19,"	0",kv
3,20,"	0",kv
3,21,"	0",kv
3,22,"	0.00400000000000489",kv
3,23,"	0",kv
4,0,"	0",kv
4,1,"	0",kv
4,2,"	0",kv
4,3,"	0",kv
4,4,"	0.00999999999999091",kv
4,5,"	0.0150000000000006",kv
4,6,"	0",kv
4,7,"	0",kv
4,8,"	0.00600000000000023",kv
4,9,"	0.007000000000005",kv
4,10,"	0.0319999999999965",kv
4,11,"	0",kv
4,12,"	0",kv
4,13,"	0.00400000000000489",kv
4,14,"	0.0219999999999914",kv
4,15,"	0",kv
4,16,"	0.00900000000000034",kv
4,17,"	0.109999999999999",kv
4,18,"	0.007000000000005",kv
4,19,"	0.00499999999999545",kv
4,20,"	0.00500000000000966",kv
4,21,"	0.000999999999990564",kv
4,22,"	0.00100000000000477",kv
4,23,"	0",kv
5,0,"	0.00400000000000489",kv
5,1,"	0",kv
5,2,"	0",kv
5,3,"	0",kv
5,4,"	0.0120000000000005",kv
5,5,"	0.0289999999999964",kv
5,6,"	0.00300000000000011",kv
5,7,"	0.0109999999999957",kv
5,8,"	0.00499999999999545",kv
5,9,"	0",kv
5,10,"	0.0400000000000063",kv
5,11,"	0.00100000000000477",kv
5,12,"	0",kv
5,13,"	0",kv
5,14,"	0.0180000000000007",kv
5,15,"	0",kv
5,16,"	0.0609999999999928",kv
5,17,"	0.00499999999999545",kv
5,18,"	0.00300000000000011",kv
5,19,"	0.085000000000008",kv
5,20,"	0.00199999999999534",kv
5,21,"	0.007000000000005",kv
5,22,"	0",kv
5,23,"	0.00399999999999068",kv
6,0,"	0",kv
6,1,"	0",kv
6,2,"	0",kv
6,3,"	0",kv
6,4,"	0",kv
6,5,"	0.00400000000000489",kv
6,6,"	0",kv
6,7,"	0",kv
6,8,"	0.0109999999999957",kv
6,9,"	0.00800000000000978",kv
6,10,"	0.00300000000000011",kv
6,11,"	0.0609999999999928",kv
6,12,"	0",kv
6,13,"	0.00900000000000034",kv
6,14,"	0.0300000000000011",kv
6,15,"	0.0150000000000006",kv
6,16,"	0.00600000000000023",kv
6,17,"	0.00799999999999557",kv
6,18,"	0.00900000000000034",kv
6,19,"	0.00100000000000477",kv
6,20,"	0.0139999999999958",kv
6,21,"	0.0230000000000103",kv
6,22,"	0.00399999999999068",kv
6,23,"	0.00300000000000011",kv
7,0,"	0",kv
7,1,"	0",kv
7,2,"	0",kv
7,3,"	0",kv
7,4,"	0",kv
7,5,"	0",kv
7,6,"	0",kv
7,7,"	0.0150000000000006",kv
7,8,"	0.0130000000000052",kv
7,9,"	0.0519999999999925",kv
7,10,"	0.0670000000000073",kv
7,11,"	0",kv
7,12,"	0",kv
7,13,"	0.00100000000000477",kv
7,14,"	0.0629999999999882",kv
7,15,"	0.00500000000000966",kv
7,16,"	0.00699999999999079",kv
7,17,"	0.00300000000000011",kv
7,18,"	0.00300000000000011",kv
7,19,"	0.00200000000000955",kv
7,20,"	0.0459999999999923",kv
7,21,"	0.00300000000000011",kv
7,22,"	0.0310000000000059",kv
7,23,"	0.00399999999999068",kv
8,0,"	0",kv
8,1,"	0",kv
8,2,"	0",kv
8,3,"	0",kv
8,4,"	0",kv
8,5,"	0.00500000000000966",kv
8,6,"	0",kv
8,7,"	0.0210000000000008",kv
8,8,"	0.0379999999999967",kv
8,9,"	0.063999999999993",kv
8,10,"	0.0630000000000024",kv
8,11,"	0.0520000000000067",kv
8,12,"	0.0439999999999969",kv
8,13,"	0",kv
8,14,"	0",kv
8,15,"	0.0210000000000008",kv
8,16,"	0.0259999999999962",kv
8,17,"	0.0109999999999957",kv
8,18,"	0.0560000000000116",kv
8,19,"	0.000999999999990564",kv
8,20,"	0.01400000000001",kv
8,21,"	0.012999999999991",kv
8,22,"	0",kv
8,23,"	0.00100000000000477",kv
9,0,"	0.00600000000000023",kv
9,1,"	0",kv
9,2,"	0",kv
9,3,"	0",kv
9,4,"	0.00799999999999557",kv
9,5,"	0.0120000000000005",kv
9,6,"	0",kv
9,7,"	0",kv
9,8,"	0.00300000000000011",kv
9,9,"	0.00600000000000023",kv
9,10,"	0.0370000000000061",kv
9,11,"	0.000999999999990564",kv
9,12,"	0",kv
9,13,"	0",kv
9,14,"	0.0100000000000051",kv
9,15,"	0.0160000000000053",kv
9,16,"	0.0369999999999919",kv
9,17,"	0",kv
9,18,"	0",kv
9,19,"	0.00800000000000978",kv
