key,value,time
EL,"	0.0999999999999091",0
KV,"	0.00300000000000011",0
VV,"	0",0
EL,"	0.0999999999999091",1
KV,"	0",1
VV,"	0",1
EL,"	0.0999999999999091",2
KV,"	0",2
VV,"	0",2
EL,"	0.380000000000109",3
KV,"	0",3
VV,"	0",3
EL,"	0.299999999999727",4
KV,"	0",4
VV,"	0",4
EL,"	0.0900000000001455",5
KV,"	0",5
VV,"	0",5
EL,"	0.0900000000001455",6
KV,"	0",6
VV,"	0",6
EL,"	0.159999999999854",7
KV,"	0.00500000000000966",7
VV,"	0",7
EL,"	0.510000000000218",8
KV,"	0.000999999999990564",8
VV,"	0",8
EL,"	1.17999999999984",9
KV,"	0.0580000000000069",9
VV,"	0.0559999999999974",9
EL,"	1.36999999999989",10
KV,"	0.00499999999999545",10
VV,"	0",10
EL,"	0.640000000000327",11
KV,"	0.00300000000000011",11
VV,"	0",11
EL,"	0.919999999999618",12
KV,"	0.0889999999999986",12
VV,"	0.0420000000000016",12
EL,"	1.0300000000002",13
KV,"	0.0150000000000006",13
VV,"	0.00400000000000489",13
EL,"	1.26999999999998",14
KV,"	0.0310000000000059",14
VV,"	0.00900000000000034",14
EL,"	0.579999999999927",15
KV,"	0.0819999999999936",15
VV,"	0.0599999999999881",15
EL,"	0.610000000000127",16
KV,"	0.0320000000000107",16
VV,"	0.0160000000000053",16
EL,"	1.13000000000011",17
KV,"	0.00999999999999091",17
VV,"	0",17
EL,"	0.549999999999727",18
KV,"	0.0160000000000053",18
VV,"	0.00799999999999557",18
EL,"	0.450000000000273",19
KV,"	0.0109999999999957",19
VV,"	0.00200000000000955",19
EL,"	1.06999999999971",20
KV,"	0.00600000000000023",20
VV,"	0.000999999999990564",20
EL,"	0.630000000000109",21
KV,"	0.034000000000006",21
VV,"	0.0370000000000061",21
EL,"	1.13999999999987",22
KV,"	0.0189999999999912",22
VV,"	0.00100000000000477",22
EL,"	0.559999999999945",23
KV,"	0.0290000000000106",23
VV,"	0.00600000000000023",23
